Goal,GoalDescription,Measure,MeasureDescription,Team Lead,Activity Type,Target Number,Notes,Quarter,Measurement
1,Strengthen agency capacity,4,Conduct performance reviews,Ray,Quantitative,10,"Unable to hit target of 10 reviews. 8 were completed by June 30, 2022",FY22.QTR.1.7/1-9/30/21,2
1,Strengthen agency capacity,4,Conduct performance reviews,Ray,Quantitative,10,"Unable to hit target of 10 reviews. 8 were completed by June 30, 2022",FY22.QTR.2.10/1-12/31/21,4
1,Strengthen agency capacity,4,Conduct performance reviews,Ray,Quantitative,10,"Unable to hit target of 10 reviews. 8 were completed by June 30, 2022",FY22.QTR.3.1/1-3/31/22,6
1,Strengthen agency capacity,4,Conduct performance reviews,Ray,Quantitative,10,"Unable to hit target of 10 reviews. 8 were completed by June 30, 2022",FY22.QTR.4.4/1-6/30/22,8
4,Increase program output,1,Monitor product or service quality,Phil,Quality Assurance,0.85,Target to increase quality was by 85%. Was able to increase quality by 90%.,FY22.QTR.1.7/1-9/30/21,0.7
4,Increase program output,1,Monitor product or service quality,Phil,Quality Assurance,0.85,Target to increase quality was by 85%. Was able to increase quality by 90%.,FY22.QTR.2.10/1-12/31/21,0.8
4,Increase program output,1,Monitor product or service quality,Phil,Quality Assurance,0.85,Target to increase quality was by 85%. Was able to increase quality by 90%.,FY22.QTR.3.1/1-3/31/22,0.8
4,Increase program output,1,Monitor product or service quality,Phil,Quality Assurance,0.85,Target quality was by 85%. Was able to increase quality by 90% in Q4.,FY22.QTR.4.4/1-6/30/22,0.9
4,Increase program output,2,Achieve higher proportion of on-time deliveries,Phil,Quantitative,0.9,Unable to achieve online deliveries. Need to review process of delivery and use quality improvement to update our processes.,FY22.QTR.1.7/1-9/30/21,0.8
4,Increase program output,2,Achieve higher proportion of on-time deliveries,Phil,Quantitative,0.9,Unable to achieve online deliveries. Need to review process of delivery and use quality improvement to update our processes.,FY22.QTR.2.10/1-12/31/21,0.7
4,Increase program output,2,Achieve higher proportion of on-time deliveries,Phil,Quantitative,0.9,Unable to achieve online deliveries. Need to review process of delivery and use quality improvement to update our processes.,FY22.QTR.3.1/1-3/31/22,0.6
4,Increase program output,2,Achieve higher proportion of on-time deliveries,Phil,Quantitative,0.9,Unable to achieve online deliveries. Need to review process of delivery and use quality improvement to update our processes.,FY22.QTR.4.4/1-6/30/22,0.8
4,Increase program output,3,Increase sales volumes,Ben,Quantitative,2000,Able to increase sales volumes for Q1 and Q4 but unable to reach in Q2 or Q3.,FY22.QTR.1.7/1-9/30/21,3000
4,Increase program output,3,Increase sales volumes,Ben,Quantitative,2000,Able to increase sales volumes for Q1 and Q4 but unable to reach in Q2 or Q3.,FY22.QTR.2.10/1-12/31/21,1800
4,Increase program output,3,Increase sales volumes,Ben,Quantitative,2000,Able to increase sales volumes for Q1 and Q4 but unable to reach in Q2 or Q3.,FY22.QTR.3.1/1-3/31/22,1600
4,Increase program output,3,Increase sales volumes,Ben,Quantitative,2000,Able to increase sales volumes for Q1 and Q4 but unable to reach in Q2 or Q3.,FY22.QTR.4.4/1-6/30/22,2000
4,Increase program output,4,Optimize product and service pricing,Ben,Project-based,1,Completed project in Q4,FY22.QTR.1.7/1-9/30/21,0
4,Increase program output,4,Optimize product and service pricing,Ben,Project-based,1,Completed project in Q4,FY22.QTR.2.10/1-12/31/21,0
4,Increase program output,4,Optimize product and service pricing,Ben,Project-based,1,Completed project in Q4,FY22.QTR.3.1/1-3/31/22,0
4,Increase program output,4,Optimize product and service pricing,Ben,Project-based,1,Completed project in Q4,FY22.QTR.4.4/1-6/30/22,1
